city,price
Aaronsburg,255908.60606060605
Abbot,149000.0
Abbottstown,359847.2364864865
Abell,227500.0
Aberdeen,355555.7929782082
Abingdon,366078.2088068182
Abington,412297.5448113208
Absecon,305671.359223301
Accident,241686.95652173914
Accokeek,576911.4134615385
Accord,430611.7886178862
Acme,249880.93385214006
Acra,476320.0
Acton,1045137.5438596491
Acushnet,594470.4918032787
Acworth,352500.0
Adah,238882.85714285713
Adams,218701.03550295858
Adams Center,215441.17647058822
Adamsburg,75000.0
Adamstown,503044.578313253
Adamstown Township,879000.0
Adamsville,73400.0
Addisleigh Park,1017209.7777777778
Addison,321798.64864864864
Adelphi,515319.9438202247
Adjuntas,92878.78787878787
Afton,164562.22222222222
Agawam,389789.14285714284
Aguada,462692.1052631579
Aguadilla,293487.61904761905
Aguas Buenas,313621.9512195122
Aibonito,138392.32954545456
Airmont,875329.3789473685
Airville,310319.0909090909
Akron,250493.84343434343
Alabama,69900.0
Albany,242125.21021394065
Albertson,1144883.492063492
Albion,167636.15204678362
Albright,96950.0
Albrightsville,297760.193877551
Alburgh,518234.14814814815
Alburtis,274516.3461538461
Aldan,240775.99367088606
Alden,293240.98360655736
Alder Creek,129000.0
Aldie,1128675.4684466019
Alexander,248448.88888888888
Alexandria,858708.4277560231
Alexandria Bay,442620.4819277108
Alexandria Township,464945.09803921566
Alford,952741.9354838709
Alfred,249125.8064516129
Alfred Station,225485.7142857143
Aliquippa,204343.4566691786
Allagash,169000.0
Allamuchy Township,431011.4876033058
Allegany,191259.55056179775
Allen Township,305648.9756097561
Allendale,1206445.7307692308
Allenhurst,6142761.904761905
Allenport,65000.0
Allenstown,378623.3333333333
Allentown,291400.69577981654
Allenwood,614526.375
Allison Park,540756.7613168724
Alloway,422788.09523809527
Allport,169900.0
Alma,135900.0
Almond,149900.0
Alpha,272879.06976744183
Alpine,4560628.278551532
Alstead,622041.958041958
Altamont,254339.12060301506
Altmar,300661.3333333333
Alton,669305.9459459459
Altona,167835.29411764705
Altoona,179296.08404966572
Alverton,44900.0
Amagansett,6148076.897435897
Amawalk,977488.8888888889
Amberson,199900.0
Ambler,701619.4694229113
Ambridge,120933.8352402746
Amenia,866067.9746835442
Ames,169654.54545454544
Amesbury,934912.6373626373
Amherst,466206.60072202166
Amissville,631856.956043956
Amity,340998.275862069
Amity Harbor,527540.0
Amityville,637256.7914110429
Amsterdam,194722.83358547656
Anasco,222524.24242424243
Ancram,630948.0519480519
Andes,575656.7164179104
Andover,901903.6802646086
Andreas,725000.0
Angelica,149518.46153846153
Angola,212618.25142857144
Annandale,811432.2741116751
Annapolis,767260.5239282154
Annville,420974.1989528796
Anson,203144.7142857143
Ansonia,306265.8653846154
Antrim,311933.7662337662
Antwerp,133326.0
Apalachin,198326.5
Apollo,172256.88836104513
Appleton,399260.4651162791
Apulia Station,129900.0
Aquasco,529017.2340425532
Aquebogue,899618.6440677966
Aquinnah,6708750.0
Arbutus,353421.05263157893
Arcade,138953.93700787402
Archbald,271571.6565656566
Ardara,157702.1052631579
Arden,425000.0
Ardmore,630056.1732026144
Ardsley,1078288.1355932204
Arecibo,139554.31309904152
Argyle,257761.70560747664
Argyle Township,124900.0
Arietta,419000.0
Arkport,167075.0
Arkville,146450.0
Arlington,1326503.9907570423
Armagh,153650.0
Armbrust,184900.0
Armonk,2454816.7531914893
Arnold,662233.4355828221
Aroda,445000.0
Arroyo,62829.82456140351
Artemas,469900.0
Arthurdale,171000.0
Arundel,483021.05263157893
Arverne,797685.7142857143
Asbury Park,618191.2709359606
Ashburn,937217.0193610842
Ashburnham,365128.5714285714
Ashby,418487.36842105264
Ashfield,699000.0
Ashford,316510.7913669065
Ashland,292263.4271523179
Ashley,171894.73684210525
Ashtabula,114448.20689655172
Ashton,804356.3410138249
Ashville,383177.397260274
Aspers,256181.25
Aston,334506.3819742489
Astoria,1725003.8429926238
Atco,254417.2198275862
Atglen,225234.10404624278
Athens,522340.24340949033
Athol,274021.47766323027
Atkinson,889323.6888888889
Atlantic,307767.85714285716
Atlantic Beach,3803717.242424242
Atlantic City,247854.5465116279
Atlantic Highlands,1236355.8558558559
Atlantique,1116666.6666666667
Atlas,189900.0
Atlasburg,69900.0
Attica,183179.3650793651
Attleboro,525892.2
Au Sable Forks,186750.0
Auburn,261614.30415364003
Audubon,390670.06097560975
Augusta,289779.3709327549
Aurora,460651.6055045872
Austerlitz,428752.38095238095
Austin,90907.4074074074
Austintown,175340.9768786127
Ava,277682.35294117645
Avalon,5738043.478260869
Avalon Manor,1066568.1818181819
Avella,272232.35294117645
Avenel,427545.1586538461
Avenue,454192.4528301887
Avis,180900.0
Avoca,158772.35772357724
Avon,601686.6102040816
Avon By The Sea,1671561.4285714286
Avondale,519368.2926829268
Avonmore,86007.80141843972
Ayer,706103.3018867924
Aylett,262950.0
Babylon,817891.5636942675
Baden,407268.61893203884
Baileyville,130113.33333333333
Bainbridge,181299.96774193548
Baiting Hollow,885233.1818181818
Baker,383566.6666666667
Bakersfield,240000.0
Bala Cynwyd,583109.8039215687
Baldwin,703204.5868673051
Baldwin Harbor,655621.9555555555
Baldwinsville,285332.0934291581
Ballston Lake,488603.97667342797
Ballston Spa,354734.1513292434
Bally,270325.5319148936
Baltimore,264689.7444060611
Bangor,264731.19332406117
Bar Harbor,1389253.0120481928
Barboursville,421662.6582278481
Barceloneta,140166.15384615384
Barclay,524500.0
Bardonia,547762.7906976744
Barker,147300.0
Barkhamsted,477654.67980295565
Barnard,1777941.1764705882
Barnegat,412587.038585209
Barnegat Light,1803290.0
Barnegat Township,479900.0
Barnesville,251067.07317073172
Barnet,386478.75
Barneveld,332289.5833333333
Barnstable,1895285.9375
Barnstead,383799.2051282051
Barrackville,204614.2857142857
Barranquitas,106290.32258064517
Barre,328548.4657039711
Barrett Township,779950.0
Barrington,699017.6973500698
Barryville,335277.4193548387
Bartlett,647517.1428571428
Barto,507350.98039215687
Barton,296855.70815450646
Bartonsville,316254.54545454547
Basking Ridge,289000.0
Bass River,70000.0
Basye,322163.63636363635
Batavia,182660.96371882086
Bath,310337.51597051596
Bath Village,172250.0
Bay Head,1491654.5454545454
Bay Shore,540283.0392156863
Bayamon,167385.8865248227
Bayamón,243955.223880597
Bayonne,601578.6642857143
Bayport,1046239.3434343435
Bayside,1359650.7090505275
Bayville,550719.5321888413
Beach Haven,1842015.4827586208
Beach Haven West,731744.0
Beach Lake,299766.847826087
Beachwood,428933.5775862069
Beacon,575833.0798548094
Beacon Falls,389085.91549295775
Bealeton,483591.54639175255
Beals,830685.7142857143
Bear,389942.49235474004
Bear Creek,664031.25
Bear Creek Township,275000.0
Bearsville,661987.5
Beaver,339799.9803030303
Beaver Cove,401200.0
Beaver Dams,203051.85185185185
Beaver Falls,209165.10760667903
Beaver Springs,219476.31578947368
Beaverdale,97348.27586206897
Bechtelsville,305843.22981366457
Becket,250210.0421686747
Bed Stuy,1984841.91954023
Beddington,274900.0
Bedford,949863.961305925
Bedford Corners,2893873.6263736263
Bedford Hills,2415641.7910447763
Bedminster Twp,1581937.4269005847
Bedstuy,1389000.0
Bedstuy Brooklyn,799999.0
Beech Bottom,50000.0
Beech Creek,247018.9189189189
Beechhurst,1715544.3037974683
Bel Air,463530.3472714387
Bel Alton,496466.17647058825
Belcamp,265449.73509933776
Belchertown,386618.83898305084
Belfast,384920.33898305084
Belford,472875.2653061224
Belgrade,520045.9770114943
Belington,189180.0
Bellaire,93618.82352941176
Belle Harbor,1395274.5098039217
Belle Mead,831409.0909090909
Belle Terre,2271538.4615384615
Belle Vernon,209788.7317862925
Bellefonte,335965.7942973523
Belleplain,199000.0
Bellerose,933238.913489736
Bellerose village,859000.0
Belleville,416082.71373801917
Bellingham,404971.9751552795
Bellmawr,253073.52132701423
Bellmore,764265.2540716613
Bellport,429630.652173913
Bellport village,2946188.095238095
Bellwood,133019.73684210525
Belmar,1138092.2666666666
Belmont,1726929.0141043724
Belsano,286956.52173913043
Beltsville,462546.40709046455
Belvidere,276338.35365853657
Bemus Point,465791.44736842107
Bendersville,299305.0
Benedict,349900.0
Benezette,294000.0
Bennington,269365.70881226053
Bensalem,406498.2994350282
Benson,177840.9090909091
Bentleyville,80744.01913875598
Benton,256481.32558139536
Bentonville,485601.3142857143
Benwood,71140.90909090909
Bergen,181622.22222222222
Bergenfield,593308.4360795454
Berkeley,316761.0
Berkeley Heights,648900.0
Berkeley Heights Twp,818181.821875
Berkeley Springs,332896.512295082
Berkley,660497.9591836735
Berkshire,237059.63302752294
Berlin,337086.77542717656
Bernards Twp,1123288.3171875
Bernardston,1125000.0
Bernardsville,1546556.1975683891
Berne,627953.3333333334
Bernhards Bay,371514.28571428574
Bernville,399291.77070063696
Berrysburg,134500.0
Berryville,667361.9423076923
Berwick,190810.4880952381
Berwyn,1325594.4567404427
Berwyn Heights,425305.4054054054
Bessemer,96450.0
Bethany,415050.34965034964
Bethany Beach,1348809.2033898304
Bethel,514885.28225806454
Bethel Park,264210.05081874644
Bethesda,1530762.1620683002
Bethlehem,408429.2202412166
Bethlehem Township,644414.9166666666
Bethpage,635727.6993243244
Betterton,119900.0
Beverly,611205.5615942029
Beyer,64700.0
Biddeford,739771.978021978
Big Flats,189418.60465116278
Big Indian,279000.0
Big Pool,399900.0
Big Run,121265.9574468085
Bigler,134900.0
Biglerville,249672.89719626168
Billerica,710941.391941392
Bingham,204925.0
Binghamton,150539.14005235603
Birchrunville,1289900.0
Bird In Hand,795000.0
Birdsboro,261276.07142857142
Bishopville,810500.0
Bivalve,312392.64285714284
Black Creek,48500.0
Black River,261675.90759075907
Blackstone,551086.9565217391
Blackwood,352615.2118863049
Bladensburg,378663.68487394956
Blaine,161725.0
Blairs Mills,97574.41860465116
Blairstown,547532.4786324786
Blairsville,168800.7481296758
Blakely,170000.0
Blakeslee,296581.32616487454
Blanchard,205478.26086956522
Blanchard Township,335000.0
Blandford,537450.0
Blandon,247336.24161073825
Blasdell,220032.84671532846
Blauvelt,803727.2727272727
Bleecker,566066.6666666666
Blenheim,249000.0
Bliss,315906.1855670103
Block Island,3219944.4444444445
Bloomfield,428132.97544283414
Blooming Grove,384741.6666666667
Bloomingburg,336812.9186602871
Bloomingdale,400481.2545454545
Bloomington,246166.66666666666
Bloomsburg,227643.32925336598
Bloomsbury,347823.40425531915
Blossburg,145653.28467153283
