,city
Pittsburgh,47843
Philadelphia,38842
Washington,35990
Baltimore,22402
Alexandria,15067
Brooklyn,13489
New York City,12077
Boston,11490
Silver Spring,9283
Bronx,9241
Arlington,9044
Newark,9011
Lancaster,8007
Springfield,7741
Staten Island,7470
Wilmington,7233
Albany,7132
Jamaica,6710
Rochester,5626
Syracuse,5403
Middletown,5322
Upper Marlboro,5223
Bethesda,5183
Hyattsville,4990
Greensburg,4979
Reading,4948
Buffalo,4810
Rockville,4784
Bowie,4634
Troy,4552
Paterson,4502
Johnstown,4430
Falls Church,4346
Kingston,4330
Capitol Heights,4276
Uniontown,4218
Schenectady,4139
Laurel,4122
Flushing,4097
Frederick,3976
York,3941
Bethlehem,3761
McKeesport,3747
Colonie,3713
Binghamton,3709
New Castle,3709
Columbia,3684
Irwin,3640
Providence,3564
Fairfax,3527
Manchester,3510
Canonsburg,3393
Woodbridge,3344
Vienna,3294
Hagerstown,3289
Morgantown,3250
McLean,3235
Fort Washington,3157
Gaithersburg,3127
Hartford,3075
Worcester,3072
Clinton,3023
Waldorf,3023
Cumberland,2995
Jersey City,2978
Potomac,2965
Dover,2959
West Chester,2828
Waterbury,2720
Bristol,2714
Hanover,2714
Watertown,2704
Downingtown,2684
Pottstown,2646
Allentown,2623
Poughkeepsie,2614
Temple Hills,2573
Yonkers,2537
Toms River,2532
State College,2520
Warwick,2483
Monroe,2478
Bloomfield,2461
Monroeville,2452
Harrisburg,2426
District Heights,2385
Newton,2336
Elmira,2317
Clifton,2307
Newburgh,2307
Indiana,2269
Pittsfield,2268
San Juan,2265
Jeannette,2262
Erie,2262
East Orange,2257
Lebanon,2222
Saugerties,2218
Ellicott City,2210
Germantown,2198
Coatesville,2195
Norristown,2189
Auburn,2173
Annandale,2167
Wayne,2162
Chester,2139
Norwich,2135
Cambridge,2117
Winchester,2076
Rome,2068
Windham,2050
New Kensington,2027
Latrobe,2013
Annapolis,1985
Vernon,1974
Chambersburg,1973
Hamilton,1972
Utica,1956
Trenton,1953
Pottsville,1936
Endicott,1929
Milford,1898
West Mifflin,1892
Burlington,1885
Coraopolis,1880
