bed,bath,acre_lot,city,state,zip_code,house_size
3.0,2.0,0.12,1,Puerto Rico,601.0,920.0
5.0,2.0,0.21,1,Virgin Islands,802.0,1140.0
2.0,1.0,0.34,1,Massachusetts,1001.0,676.0
3.0,1.0,3.93,1,Connecticut,6279.0,1572.0
3.0,3.0,0.07,1,New Jersey,8016.0,1500.0
2.0,2.0,0.41,1,New Hampshire,3447.0,1948.0
3.0,1.0,3.4,1,Vermont,5301.0,1335.0
3.0,2.0,2.02,1,New York,12521.0,1600.0
4.0,2.0,2.02,1,Rhode Island,2830.0,1512.0
3.0,3.0,0.29,1,Wyoming,82414.0,1935.0
4.0,3.0,2.0,1,Maine,3903.0,2628.0
5.0,5.0,0.92,1,Pennsylvania,19073.0,4953.0
4.0,2.0,0.17,1,West Virginia,24898.0,1860.0
3.0,1.0,0.11,1,Delaware,19720.0,1275.0
1.0,1.0,0.15,1,Ohio,43920.0,690.0
6.0,3.0,1.25,1,Maryland,21541.0,1990.0
4.0,3.0,0.34,1,Virginia,22625.0,2000.0
3.0,3.0,0.05,1,Colorado,80122.0,2376.0
4.0,3.0,0.03,1,District of Columbia,20001.0,2100.0
