,zip_code
15601.0,5020
20743.0,4542
15401.0,4218
20019.0,4053
12180.0,3978
12401.0,3964
20002.0,3885
15642.0,3691
17603.0,3622
15235.0,3473
15317.0,3393
20011.0,3271
15301.0,3126
20020.0,3077
20744.0,3000
20854.0,2965
20772.0,2936
15212.0,2883
15227.0,2751
20817.0,2727
19335.0,2684
15236.0,2634
20748.0,2614
22101.0,2591
15221.0,2441
20774.0,2439
20007.0,2416
20878.0,2389
20747.0,2385
15146.0,2354
13760.0,2326
12550.0,2282
15701.0,2269
15644.0,2262
19320.0,2262
22314.0,2238
20785.0,2228
22207.0,2224
19709.0,2219
19146.0,2201
19464.0,2199
12477.0,2189
22003.0,2167
20001.0,2138
11385.0,2137
1201.0,2098
21234.0,2089
11434.0,2071
21224.0,2060
19145.0,2048
19148.0,2043
15068.0,2027
20735.0,2025
15905.0,2025
15650.0,2013
13440.0,1994
19143.0,1992
22315.0,1990
21502.0,1986
20902.0,1983
17901.0,1964
15241.0,1931
19134.0,1929
17601.0,1914
21740.0,1909
15122.0,1892
20850.0,1892
6010.0,1890
15108.0,1880
15201.0,1879
12866.0,1875
20901.0,1874
20003.0,1872
15217.0,1867
15012.0,1853
14850.0,1849
15210.0,1842
15132.0,1831
17543.0,1827
19124.0,1827
15203.0,1807
15102.0,1771
17602.0,1765
13601.0,1757
7003.0,1743
12144.0,1742
19805.0,1741
20906.0,1730
12414.0,1717
2895.0,1716
21117.0,1712
12110.0,1711
19446.0,1702
20746.0,1689
22042.0,1683
21206.0,1673
12534.0,1669
22310.0,1656
17331.0,1655
22204.0,1652
15767.0,1643
20706.0,1641
11234.0,1635
7470.0,1634
22015.0,1620
15120.0,1616
15025.0,1606
20895.0,1598
21222.0,1586
20016.0,1586
15425.0,1585
11420.0,1566
15022.0,1564
19380.0,1557
7104.0,1550
21230.0,1544
22180.0,1542
20720.0,1536
11412.0,1534
26508.0,1532
15216.0,1527
15037.0,1523
18951.0,1501
19125.0,1494
12203.0,1488
20852.0,1486
19121.0,1486
11208.0,1473
19720.0,1471
20017.0,1469
16801.0,1466
19426.0,1465
20814.0,1460
12206.0,1456
7109.0,1454
20010.0,1452
20018.0,1447
19403.0,1443
15237.0,1432
7052.0,1430
15211.0,1422
19401.0,1418
22153.0,1417
21215.0,1415
8831.0,1412
6790.0,1410
12065.0,1406
6082.0,1399
8332.0,1396
15206.0,1392
7111.0,1387
21742.0,1380
15062.0,1378
15136.0,1373
10465.0,1364
22205.0,1363
20782.0,1356
20904.0,1346
6360.0,1344
19120.0,1343
13021.0,1342
7083.0,1327
10583.0,1326
12601.0,1319
19147.0,1317
20783.0,1308
12603.0,1303
20721.0,1303
15218.0,1300
12309.0,1298
20784.0,1296
20874.0,1295
8527.0,1294
20815.0,1294
21921.0,1292
21122.0,1292
16101.0,1291
19063.0,1288
11368.0,1287
20009.0,1285
15001.0,1281
21045.0,1281
19382.0,1271
20853.0,1271
11356.0,1267
2904.0,1266
22031.0,1257
16001.0,1256
20032.0,1256
12304.0,1255
22309.0,1255
15234.0,1255
19002.0,1246
19128.0,1245
21229.0,1236
13905.0,1236
7017.0,1234
15147.0,1231
22630.0,1231
21044.0,1228
19606.0,1227
21221.0,1222
21702.0,1217
12590.0,1216
11236.0,1212
19460.0,1198
7110.0,1198
11413.0,1197
21220.0,1197
17202.0,1196
15017.0,1195
21213.0,1195
21042.0,1194
2864.0,1192
11207.0,1191
12047.0,1184
7042.0,1182
20740.0,1179
12182.0,1177
15205.0,1175
20603.0,1173
11414.0,1173
19802.0,1173
10469.0,1170
21216.0,1169
19111.0,1168
7047.0,1166
20745.0,1157
15228.0,1157
19139.0,1157
11357.0,1157
12508.0,1156
7960.0,1152
12306.0,1144
11418.0,1144
21207.0,1142
18436.0,1141
20910.0,1141
12303.0,1139
19073.0,1136
17363.0,1136
12205.0,1131
15143.0,1124
18102.0,1124
19355.0,1120
19702.0,1108
11417.0,1107
20723.0,1105
15668.0,1104
13903.0,1098
11421.0,1093
10301.0,1091
15666.0,1090
2127.0,1089
21703.0,1087
7522.0,1086
22308.0,1083
15367.0,1083
21218.0,1082
7501.0,1081
20008.0,1077
17821.0,1077
22201.0,1077
12442.0,1076
21113.0,1075
20707.0,1074
19363.0,1067
20715.0,1065
12209.0,1064
22192.0,1064
10950.0,1061
13502.0,1056
16823.0,1055
16803.0,1054
11003.0,1054
22701.0,1052
2128.0,1050
15010.0,1048
21060.0,1047
13790.0,1040
22152.0,1037
8757.0,1037
22306.0,1035
12020.0,1033
13027.0,1030
13850.0,1029
20602.0,1025
14701.0,1024
7018.0,1023
21217.0,1021
7675.0,1018
18301.0,1018
21043.0,1016
15239.0,1016
21212.0,1015
22032.0,1014
8070.0,1011
8854.0,1008
22191.0,1006
20015.0,1005
18360.0,1004
15243.0,1003
13501.0,1000
19142.0,999
15683.0,999
19149.0,997
22182.0,996
20816.0,996
18466.0,994
26505.0,992
11432.0,992
11355.0,991
7055.0,991
19082.0,990
21228.0,990
12198.0,989
15063.0,989
11746.0,988
21136.0,987
10940.0,983
15044.0,982
19026.0,980
8816.0,980
21701.0,980
11435.0,979
6106.0,979
22304.0,979
15202.0,978
20646.0,977
11375.0,974
20724.0,973
19701.0,973
19131.0,972
21901.0,970
22079.0,967
11358.0,967
17042.0,967
12553.0,965
15658.0,964
19138.0,962
8234.0,962
15224.0,960
11433.0,958
11561.0,957
17268.0,955
11377.0,954
12019.0,951
10466.0,949
11572.0,948
21771.0,947
22043.0,945
17356.0,943
18428.0,943
2908.0,941
10314.0,941
8753.0,941
20871.0,940
19438.0,939
16201.0,937
21214.0,937
11378.0,936
8540.0,931
15106.0,931
11436.0,930
7050.0,930
16301.0,926
10567.0,925
16046.0,925
8226.0,924
21093.0,923
22305.0,923
12118.0,922
15419.0,922
11369.0,921
8330.0,919
11361.0,919
8902.0,918
7107.0,918
13820.0,915
19013.0,915
12077.0,913
6095.0,911
15220.0,909
15238.0,908
12189.0,907
11580.0,905
12054.0,904
