city,avg(price),lat,lon
Moca,165802.08333333334,18.3947512,-67.113679
Camuy,140680.41958041958,18.4841598,-66.8446583
Quebradillas,606887.323943662,18.473687,-66.938211
Toa Baja,164941.89723320157,18.4426255,-66.2545652
Naranjito,118993.82716049382,18.3010413,-66.2453211
Comerio,142694.11764705885,18.2185305,-66.2264142
Guayama,343700.0,17.9850901,-66.1135657
San Lorenzo,234135.24590163937,37.6810422,-122.1244088
Bayamon,156544.47327452,18.3990551,-66.1560326
Patillas,233936.58536585365,18.0059783,-66.0144597
Christiansted,749392.3636363636,17.7439481,-64.7079823
Agawam,347338.5137614679,42.0688621,-72.6151604
Pelham,629678.8261339093,31.1276849,-84.1518466
Amherst,423716.05151354225,42.3731948,-72.5198761
Buckland,144667.80487804877,65.9785168,-161.1268751
Granby,402472.465034965,41.9538298,-72.789313
South Hadley,376818.17171717173,42.2591392,-72.5751341
Chesterfield,505090.8878281623,38.661953,-90.5643258
Coventry,331392.6073585942,41.7000996,-71.6828444
Stafford,436808.415414445,41.9851964,-72.2895812
Enfield,288850.207211319,42.435906,-76.6313356
Otis,207328.0459770115,38.5347349,-99.0531508
West Brookfield,338939.83402489626,42.2362442,-72.1379487
Adams,190577.9036827195,43.565067,-92.7185344
Bolton,609606.8136272546,32.3493122,-90.4600958
Charlemont,110086.41975308642,42.6275354,-72.874488
Cheshire,380602.9989384289,41.4989861,-72.900658
Middlefield,368555.10204081633,41.5165161,-72.7120793
Barkhamsted,386678.4671532847,41.9292629,-72.9139904
North Canaan,338562.63157894736,42.0225,-73.2908333
Farmington,486801.4864864865,36.7291152,-108.205445
Bristol,373522.9129770992,41.6735209,-72.9464859
Whitingham,221908.4699453552,42.7893178,-72.8844288
East Hampton,2201050.2810402685,40.9633868,-72.1847598
Glastonbury,477629.7331995988,41.7123218,-72.608146
Warwick,511793.2564581388,41.6992717,-71.4586114
Guilford,508116.79293544457,41.2889866,-72.6817616
Stamford,779218.4168582376,41.0534302,-73.5387341
Worcester,437680.9044600939,42.2625621,-71.8018877
West Boylston,395111.62790697673,42.3680073,-71.7845326
Ashburnham,296253.2338308458,42.6357648,-71.9086801
Eastford,206396.9135802469,41.902068,-72.0799095
Webster,385816.14238410594,29.5351724,-95.1161564
Winchendon,298695.8100558659,42.6815126,-72.0499767
Copake,601605.9623059867,42.1035545,-73.5496591
Salisbury,502045.23822546337,35.6709727,-80.4742261
Austerlitz,717893.837535014,42.3126595,-73.4733837
New Lebanon,300559.06040268455,42.4639722,-73.3964977
Mount Washington,1268191.1764705882,42.1117855,-73.4730824
East Greenbush,336105.25840597757,42.5909135,-73.7017858
Wingdale,240158.0357142857,41.6470383,-73.5681816
Dover,502094.84965542256,39.158168,-75.5243682
Dublin,452479.1756097561,32.5404447,-82.903754
Newfane,386405.33980582526,42.9855947,-72.6554243
Ashby,314209.86842105264,46.093016,-95.81755
Sudbury,1705385.5115303984,43.7992035,-73.2048157
Boylston,937166.1616161616,43.6554303,-75.9604143
Clinton,404984.4754285714,41.8502821,-90.1877485
Northborough,500439.5121951219,42.3196015,-71.6422408
New Ipswich,469935.7632653062,42.7481421,-71.8542429
